
__MAGICC 7.X DATA OUTPUT FILE__

OUTPUT:  DAT_SURFACE_TEMP
RUN:   SLR_AISSID_RCP85                                                                                                              
RUN_ID:                               1
DATE:   No Date specified.                                                                                                            
MAGICC-VERSION:   7.0.0.1 BETA, MAY 2016                                                                              

&THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS=          0,
 THISFILE_FIRSTYEAR=       1850,
 THISFILE_LASTYEAR=       2500,
 THISFILE_ANNUALSTEPS=          1,
 THISFILE_FIRSTDATAROW=         21,
 THISFILE_UNITS="K                                                                                                   ",
 THISFILE_DATTYPE="FOURBOXDATA                                                                                         ",
 /

   YEARS   GLOBAL    NH-OCEAN   NH-LAND   SH-OCEAN   SH-LAND
      1871      0.16068644E+00      0.22821961E-01      0.37729899E+00      0.99330463E-01      0.33904521E+00
      1872      0.24918191E+00     -0.19302368E-01      0.51557668E+00      0.25354131E+00      0.44152069E+00
      1873      0.11694625E+00     -0.10303243E+00      0.80889384E-01      0.32050995E+00      0.30832926E-01
      1874      0.14622658E+00     -0.12787119E+00      0.12821706E+00      0.27284553E+00      0.46294912E+00
      1875      0.17080590E+00      0.68834819E-01     -0.42851766E-01      0.33783207E+00      0.25141907E+00
      1876      0.18805201E+00      0.80527552E-01      0.13829804E+00      0.21296644E+00      0.49080658E+00
      1877      0.13539509E+00     -0.11184438E+00      0.21595510E+00      0.13827551E+00      0.64629110E+00
      1878      0.90557257E-01     -0.63008626E-01      0.15326691E+00      0.81404657E-01      0.42370351E+00
      1879      0.81417565E-01      0.12411072E+00      0.97427368E-02      0.84294874E-01      0.96028646E-01
      1880      0.17948482E+00      0.18209645E+00      0.79007467E-01      0.21227636E+00      0.24986776E+00
      1881      0.29404214E+00      0.65544112E-01      0.61328125E+00      0.20150540E+00      0.63476817E+00
      1882      0.20418856E+00      0.53970417E-01      0.46359253E+00      0.55880975E-01      0.65818787E+00
      1883      0.13490487E+00      0.57959345E-01      0.23301188E+00      0.56370033E-01      0.44664764E+00
      1884     -0.14150061E+00     -0.44153595E+00      0.10455068E+00     -0.90848287E-01      0.45166016E-02
      1885     -0.23098039E+00     -0.20646922E+00     -0.64122264E+00      0.78614720E-02     -0.37669373E+00
      1886     -0.19252964E+00     -0.30602519E+00     -0.27116140E+00     -0.20010122E+00      0.30668132E+00
      1887     -0.20505028E+00     -0.37362162E+00     -0.20653788E+00     -0.20827993E+00      0.27565257E+00
      1888     -0.13928811E+00     -0.15940094E+00     -0.19127146E+00     -0.30306498E-01     -0.38975016E+00
      1889      0.24098314E-01     -0.11452738E+00      0.14549510E+00      0.34510087E-01      0.12500763E+00
      1890      0.34921714E-01     -0.13595835E+00      0.16789754E-01      0.12679137E+00      0.19753520E+00
      1891      0.75581291E-01     -0.18554179E+00      0.11146545E+00      0.19286545E+00      0.28379822E+00
      1892      0.38083776E-02     -0.26230621E+00      0.21500651E+00     -0.11342367E-02      0.33498891E+00
      1893     -0.76830673E-01     -0.19948069E+00     -0.17796834E-01      0.35469379E-01     -0.27861277E+00
      1894      0.36816815E-01      0.36730296E-02     -0.12062581E+00      0.16134747E+00     -0.25230408E-01
      1895      0.15642199E+00     -0.31389872E-01      0.18108877E+00      0.21008620E+00      0.42392731E+00
      1896      0.12501582E+00     -0.72280884E-01      0.32151031E+00      0.72666570E-01      0.47387441E+00
      1897      0.80152497E-01      0.46582840E-01     -0.73064168E-02      0.12032189E+00      0.19667308E+00
      1898      0.14462226E+00      0.74744811E-01     -0.10765076E-01      0.20317461E+00      0.42812347E+00
      1899      0.13219146E+00      0.34535601E-01      0.28880310E+00      0.14765110E-01      0.53043111E+00
      1900      0.18758733E+00      0.37278066E-01      0.48388418E+00      0.93873519E-01      0.36267598E+00
      1901      0.20371316E+00      0.15253628E+00      0.26682281E+00      0.19939756E+00      0.23507436E+00
      1902      0.29079345E+00      0.98094818E-02      0.57517751E+00      0.23606713E+00      0.70395152E+00
      1903     -0.14044312E+00     -0.59923554E+00      0.29993947E+00     -0.28840637E+00      0.80255636E+00
      1904     -0.44275842E+00     -0.57556152E+00     -0.55821737E+00     -0.27040354E+00     -0.49343363E+00
      1905     -0.26436242E+00     -0.34822337E+00     -0.59554291E+00     -0.16723633E-01     -0.30197906E+00
      1906     -0.11769854E+00     -0.28831991E+00     -0.22540029E+00     -0.51651001E-01      0.32048035E+00
      1907     -0.15345637E+00     -0.25764720E+00     -0.36395772E+00     -0.27475993E-01      0.81385295E-01
      1908     -0.43867717E-01     -0.10781352E+00     -0.19540151E+00      0.86978619E-01     -0.56419373E-01
      1909      0.23541912E+00      0.15516983E+00      0.28864797E+00      0.27903163E+00      0.18653615E+00
      1910      0.21964946E+00      0.29653858E-01      0.19951884E+00      0.14669926E+00      0.10590922E+01
      1911      0.49713478E-01     -0.18924967E+00      0.26168315E+00     -0.30186971E-02      0.48414103E+00
      1912      0.64640551E-01     -0.14933777E+00      0.30561574E+00      0.11329383E+00     -0.93510946E-02
      1913      0.32967547E-02     -0.22349803E+00      0.29902140E-01      0.10200605E+00      0.20513662E+00
      1914      0.99173389E-01     -0.10979207E+00      0.44484456E-01      0.24331719E+00      0.24343872E+00
      1915      0.13294884E+00     -0.47269185E-01      0.87875366E-01      0.21737600E+00      0.40323385E+00
      1916      0.18522572E+00      0.61175580E-01      0.14681498E-01      0.28923833E+00      0.47764333E+00
      1917      0.24970037E+00      0.54874783E-01      0.41399383E+00      0.24397516E+00      0.48074087E+00
      1918      0.25856143E+00      0.30942735E-01      0.50708771E+00      0.18674088E+00      0.66035207E+00
      1919      0.16990632E+00      0.67605673E-01      0.85884094E-01      0.22937514E+00      0.39677938E+00
      1920      0.30870911E+00      0.19981813E+00      0.34479014E+00      0.29758274E+00      0.57914988E+00
      1921      0.29949531E+00      0.17077453E+00      0.53435262E+00      0.20514426E+00      0.54023488E+00
      1922      0.22607468E+00      0.24080439E+00      0.30469004E+00      0.15874739E+00      0.28144073E+00
      1923      0.38437988E+00      0.40115103E+00      0.57784780E+00      0.27401657E+00      0.36629995E+00
      1924      0.41100750E+00      0.36850209E+00      0.47707113E+00      0.34302814E+00      0.65200806E+00
      1925      0.40580980E+00      0.18654697E+00      0.83809408E+00      0.20496336E+00      0.90238953E+00
      1926      0.35261075E+00      0.25338900E+00      0.62763468E+00      0.24765820E+00      0.47142537E+00
      1927      0.48823622E+00      0.46566214E+00      0.59857941E+00      0.44899373E+00      0.47752380E+00
      1928      0.45362693E+00      0.28146878E+00      0.88571421E+00      0.24245593E+00      0.85934194E+00
      1929      0.39977387E+00      0.18663882E+00      0.85247040E+00      0.24265918E+00      0.67409007E+00
      1930      0.29417851E+00      0.36817117E+00      0.98546346E-01      0.36392455E+00      0.21870422E+00
      1931      0.47359951E+00      0.44952253E+00      0.60648346E+00      0.37471159E+00      0.64633687E+00
      1932      0.41388470E+00      0.24750582E+00      0.82891083E+00      0.17693206E+00      0.93474833E+00
      1933      0.26259783E+00      0.17862992E+00      0.47679138E+00      0.15632325E+00      0.46591695E+00
      1934      0.19279380E+00      0.19906873E+00      0.27559662E+00      0.16230863E+00      0.12453969E+00
      1935      0.31368779E+00      0.19690697E+00      0.64894104E+00      0.13970811E+00      0.62021383E+00
      1936      0.22457095E+00      0.28062014E+00      0.11443329E+00      0.31398628E+00     -0.46328227E-01
      1937      0.37412870E+00      0.30314023E+00      0.36281331E+00      0.32522758E+00      0.77678426E+00
      1938      0.42367857E+00      0.28636200E+00      0.58940125E+00      0.32272466E+00      0.85126750E+00
      1939      0.44604470E+00      0.33013500E+00      0.60957591E+00      0.43161270E+00      0.49340566E+00
      1940      0.46532233E+00      0.43848425E+00      0.60140228E+00      0.40534521E+00      0.49291484E+00
      1941      0.50757538E+00      0.35189273E+00      0.82342275E+00      0.40832756E+00      0.67922211E+00
      1942      0.42525283E+00      0.25435108E+00      0.55332947E+00      0.34927756E+00      0.92692566E+00
      1943      0.41257553E+00      0.30050975E+00      0.58118439E+00      0.38642034E+00      0.48326620E+00
      1944      0.36581879E+00      0.22684697E+00      0.54384613E+00      0.30000889E+00      0.64116160E+00
      1945      0.38659417E+00      0.30791713E+00      0.44362895E+00      0.29430584E+00      0.83700307E+00
      1946      0.38395674E+00      0.44421081E+00      0.40252686E+00      0.33078851E+00      0.38041433E+00
      1947      0.40303635E+00      0.45351947E+00      0.33116404E+00      0.32095445E+00      0.71613566E+00
      1948      0.51058687E+00      0.42304175E+00      0.98132833E+00      0.31705048E+00      0.53896077E+00
      1949      0.43995478E+00      0.32926446E+00      0.75895182E+00      0.19988186E+00      0.10108083E+01
      1950      0.31505666E+00      0.36114365E+00      0.37246704E+00      0.20857324E+00      0.47352854E+00
      1951      0.40674046E+00      0.45006142E+00      0.58856201E+00      0.36323702E+00      0.87104797E-01
      1952      0.50092638E+00      0.41536834E+00      0.86768341E+00      0.40095550E+00      0.37979635E+00
      1953      0.55583542E+00      0.44180859E+00      0.85411326E+00      0.39092663E+00      0.89458211E+00
      1954      0.44414126E+00      0.33048729E+00      0.76279449E+00      0.29798755E+00      0.67055257E+00
      1955      0.42271817E+00      0.34468831E+00      0.71788788E+00      0.26163425E+00      0.65387217E+00
      1956      0.50742827E+00      0.44888493E+00      0.84458160E+00      0.32653504E+00      0.67531586E+00
      1957      0.57272811E+00      0.46279985E+00      0.88949839E+00      0.44758181E+00      0.71358744E+00
      1958      0.51408403E+00      0.43610633E+00      0.60235850E+00      0.34615194E+00      0.11846466E+01
      1959      0.48528361E+00      0.48083996E+00      0.59404246E+00      0.36829845E+00      0.72012583E+00
      1960      0.52274362E+00      0.41269709E+00      0.80932363E+00      0.36270734E+00      0.85556285E+00
      1961      0.48359007E+00      0.34792135E+00      0.83683777E+00      0.33416529E+00      0.71392059E+00
      1962      0.36900766E+00      0.25202064E+00      0.50251770E+00      0.34785761E+00      0.50465902E+00
      1963      0.30792728E+00      0.19015936E+00      0.40587616E+00      0.23840293E+00      0.69883728E+00
      1964      0.18118035E+00      0.66373865E-01      0.74938456E-01      0.23078400E+00      0.52414449E+00
      1965      0.30741296E+00      0.21379653E+00      0.34568787E+00      0.29421220E+00      0.53908285E+00
      1966      0.33119171E+00      0.26439167E+00      0.32079315E+00      0.27028763E+00      0.76559957E+00
      1967      0.30832720E+00      0.23184690E+00      0.41486613E+00      0.25531564E+00      0.50590515E+00
      1968      0.38591705E+00      0.31982017E+00      0.44593048E+00      0.42606071E+00      0.29742686E+00
      1969      0.56219818E+00      0.48934461E+00      0.71592967E+00      0.53958912E+00      0.54100291E+00
      1970      0.71253070E+00      0.40593158E+00      0.10208257E+01      0.60560478E+00      0.13449834E+01
      1971      0.47247884E+00      0.24861308E+00      0.64177449E+00      0.38607207E+00      0.10772374E+01
      1972      0.43514004E+00      0.37170136E+00      0.44623820E+00      0.44059086E+00      0.56764984E+00
      1973      0.61327114E+00      0.45569200E+00      0.83363851E+00      0.60905073E+00      0.62363179E+00
      1974      0.50977712E+00      0.41184207E+00      0.25488027E+00      0.69840660E+00      0.58045196E+00
      1975      0.61645208E+00      0.51379518E+00      0.45791880E+00      0.74688007E+00      0.72638957E+00
      1976      0.70000599E+00      0.61117206E+00      0.62387085E+00      0.79387206E+00      0.74451192E+00
      1977      0.74122138E+00      0.50854896E+00      0.96616872E+00      0.64548136E+00      0.12941106E+01
      1978      0.73493159E+00      0.50426133E+00      0.96520233E+00      0.67644166E+00      0.11315130E+01
      1979      0.71792775E+00      0.58899159E+00      0.77147166E+00      0.73176048E+00      0.91491191E+00
      1980      0.76746429E+00      0.68814138E+00      0.74803162E+00      0.76001952E+00      0.10534185E+01
      1981      0.87042545E+00      0.71032857E+00      0.11101252E+01      0.82635006E+00      0.99900564E+00
      1982      0.82129958E+00      0.60254922E+00      0.12586034E+01      0.68341389E+00      0.10695724E+01
      1983      0.74163389E+00      0.51193122E+00      0.11345647E+01      0.64106802E+00      0.96850840E+00
      1984      0.58334600E+00      0.49481506E+00      0.58740997E+00      0.51729577E+00      0.10682068E+01
      1985      0.73661864E+00      0.65270383E+00      0.10087535E+01      0.59539374E+00      0.95538839E+00
      1986      0.81498155E+00      0.84119151E+00      0.94194539E+00      0.74288153E+00      0.75989787E+00
      1987      0.89938627E+00      0.73135771E+00      0.10670573E+01      0.85580140E+00      0.11920853E+01
      1988      0.83948320E+00      0.59877965E+00      0.11525828E+01      0.70922235E+00      0.13681132E+01
      1989      0.82512823E+00      0.67508342E+00      0.10837911E+01      0.76653825E+00      0.94262187E+00
      1990      0.94527183E+00      0.90325814E+00      0.10817108E+01      0.93291141E+00      0.83493042E+00
      1991      0.10104080E+01      0.94305021E+00      0.96233368E+00      0.91723248E+00      0.16431096E+01
      1992      0.87162910E+00      0.64130262E+00      0.12590052E+01      0.77240043E+00      0.11063054E+01
      1993      0.87445805E+00      0.70892802E+00      0.81152852E+00      0.91340064E+00      0.13109970E+01
      1994      0.89680942E+00      0.64154231E+00      0.11617788E+01      0.73370073E+00      0.16854935E+01
      1995      0.75047694E+00      0.54995386E+00      0.10582911E+01      0.70195865E+00      0.87119548E+00
      1996      0.83657741E+00      0.58011878E+00      0.11881383E+01      0.85000752E+00      0.79124705E+00
      1997      0.91526727E+00      0.79564583E+00      0.10348918E+01      0.97338700E+00      0.78776042E+00
      1998      0.11307215E+01      0.97323446E+00      0.12894465E+01      0.11406422E+01      0.12109146E+01
      1999      0.12073082E+01      0.94165905E+00      0.15059509E+01      0.11227204E+01      0.16619314E+01
      2000      0.12021418E+01      0.10722823E+01      0.13691152E+01      0.11045647E+01      0.15939306E+01
      2001      0.13681091E+01      0.12293164E+01      0.17414093E+01      0.12482873E+01      0.14555995E+01
      2002      0.14514571E+01      0.12235403E+01      0.18768311E+01      0.12778749E+01      0.18831940E+01
      2003      0.13546535E+01      0.10426532E+01      0.19007238E+01      0.11624445E+01      0.18473002E+01
      2004      0.12854488E+01      0.10976854E+01      0.16403605E+01      0.12025818E+01      0.14059474E+01
      2005      0.13757480E+01      0.11727141E+01      0.18381348E+01      0.12948371E+01      0.13161138E+01
      2006      0.13994852E+01      0.12538984E+01      0.18064804E+01      0.12194265E+01      0.16649551E+01
      2007      0.14297406E+01      0.11997562E+01      0.19668121E+01      0.12104812E+01      0.18156255E+01
      2008      0.14452346E+01      0.12879556E+01      0.19607340E+01      0.11826878E+01      0.18363012E+01
      2009      0.14785512E+01      0.13683443E+01      0.20154800E+01      0.12456565E+01      0.15852025E+01
      2010      0.14728589E+01      0.14055172E+01      0.17178828E+01      0.12735404E+01      0.19186198E+01
      2011      0.14892666E+01      0.12394541E+01      0.19961904E+01      0.12512534E+01      0.20607605E+01
      2012      0.13551330E+01      0.11574869E+01      0.17152735E+01      0.12417043E+01      0.16074397E+01
      2013      0.13795214E+01      0.11623127E+01      0.17813085E+01      0.12774356E+01      0.15598933E+01
      2014      0.15257113E+01      0.14586392E+01      0.17839813E+01      0.13855457E+01      0.17217077E+01
      2015      0.16559346E+01      0.14976884E+01      0.23187332E+01      0.13766904E+01      0.18178889E+01
      2016      0.16528716E+01      0.14837734E+01      0.24129613E+01      0.13772200E+01      0.16367010E+01
      2017      0.16817642E+01      0.14991821E+01      0.23433762E+01      0.14106722E+01      0.18826370E+01
      2018      0.17381395E+01      0.15728463E+01      0.22626699E+01      0.15136963E+01      0.19899368E+01
      2019      0.17728241E+01      0.15310172E+01      0.22826742E+01      0.15992411E+01      0.20739746E+01
      2020      0.16885358E+01      0.13670959E+01      0.22202072E+01      0.14388440E+01      0.24522959E+01
      2021      0.16785518E+01      0.14685605E+01      0.21462860E+01      0.15044193E+01      0.19781291E+01
      2022      0.18541692E+01      0.16012892E+01      0.26078415E+01      0.16194461E+01      0.19282608E+01
      2023      0.18994687E+01      0.17405914E+01      0.22191849E+01      0.17499908E+01      0.22611618E+01
      2024      0.19360112E+01      0.16217503E+01      0.26032588E+01      0.16771516E+01      0.24432805E+01
      2025      0.19849821E+01      0.18175582E+01      0.25173874E+01      0.17952055E+01      0.20965017E+01
      2026      0.20578668E+01      0.18637495E+01      0.25161998E+01      0.18448614E+01      0.24786402E+01
      2027      0.20534389E+01      0.18126932E+01      0.25627136E+01      0.18366271E+01      0.25154317E+01
      2028      0.19938920E+01      0.17851669E+01      0.24447200E+01      0.17676323E+01      0.25198822E+01
      2029      0.20563776E+01      0.19801111E+01      0.26688919E+01      0.17632436E+01      0.21447322E+01
      2030      0.21117796E+01      0.18110330E+01      0.28556137E+01      0.18585924E+01      0.24072113E+01
      2031      0.21374352E+01      0.17957884E+01      0.28238424E+01      0.18478876E+01      0.27974675E+01
      2032      0.21203644E+01      0.19072514E+01      0.26618907E+01      0.18679625E+01      0.25754217E+01
      2033      0.22425707E+01      0.20780753E+01      0.28265177E+01      0.19562707E+01      0.26060308E+01
      2034      0.23265248E+01      0.20269418E+01      0.32211456E+01      0.19697263E+01      0.27069448E+01
      2035      0.21873031E+01      0.19368057E+01      0.27845790E+01      0.19033460E+01      0.27528203E+01
      2036      0.22662220E+01      0.20213742E+01      0.30414200E+01      0.18905727E+01      0.28052292E+01
      2037      0.23438621E+01      0.22326585E+01      0.29966176E+01      0.19876694E+01      0.26854477E+01
      2038      0.23024547E+01      0.20779736E+01      0.30024668E+01      0.19227155E+01      0.29509684E+01
      2039      0.23108373E+01      0.22332045E+01      0.29510040E+01      0.19584938E+01      0.25704015E+01
      2040      0.23504494E+01      0.21553213E+01      0.31585439E+01      0.20284750E+01      0.24844233E+01
      2041      0.24135475E+01      0.23000881E+01      0.30875804E+01      0.20588064E+01      0.27133484E+01
      2042      0.25209809E+01      0.22864167E+01      0.33900477E+01      0.20765699E+01      0.31025238E+01
      2043      0.25112887E+01      0.22123808E+01      0.34822896E+01      0.20867034E+01      0.29920909E+01
      2044      0.25607544E+01      0.24353363E+01      0.33348338E+01      0.21107149E+01      0.30519943E+01
      2045      0.26550988E+01      0.24581092E+01      0.36411285E+01      0.21951196E+01      0.29575043E+01
      2046      0.27085643E+01      0.24015509E+01      0.36012141E+01      0.22912157E+01      0.33412323E+01
      2047      0.26227469E+01      0.22366627E+01      0.35067037E+01      0.22828235E+01      0.31999207E+01
      2048      0.26444329E+01      0.23201103E+01      0.35940679E+01      0.22888253E+01      0.29786733E+01
      2049      0.26681945E+01      0.23066545E+01      0.34463857E+01      0.24280171E+01      0.30138753E+01
      2050      0.27188144E+01      0.24660129E+01      0.34642512E+01      0.23829955E+01      0.31894735E+01
      2051      0.27853384E+01      0.24918684E+01      0.37215907E+01      0.24000103E+01      0.31729380E+01
      2052      0.28528360E+01      0.25521871E+01      0.38035253E+01      0.24340006E+01      0.33574397E+01
      2053      0.28837382E+01      0.25309101E+01      0.38703512E+01      0.24164110E+01      0.36430308E+01
      2054      0.28558514E+01      0.24982911E+01      0.37690226E+01      0.24695411E+01      0.34703191E+01
      2055      0.28971110E+01      0.27025372E+01      0.36079687E+01      0.25389722E+01      0.33600744E+01
      2056      0.29988297E+01      0.27242595E+01      0.39362361E+01      0.25411392E+01      0.36041412E+01
      2057      0.31301213E+01      0.28363898E+01      0.43145777E+01      0.25996563E+01      0.35680262E+01
      2058      0.30659519E+01      0.27993676E+01      0.40423711E+01      0.25813028E+01      0.36725972E+01
      2059      0.32437784E+01      0.28557110E+01      0.45958481E+01      0.27072057E+01      0.36299794E+01
      2060      0.32410450E+01      0.28571887E+01      0.45252584E+01      0.26980941E+01      0.37753220E+01
      2061      0.33204302E+01      0.28701473E+01      0.47635549E+01      0.27987934E+01      0.36401672E+01
      2062      0.33306385E+01      0.31650078E+01      0.43504410E+01      0.28868977E+01      0.34178009E+01
      2063      0.35009856E+01      0.32089535E+01      0.47091065E+01      0.29504302E+01      0.39624456E+01
      2064      0.34997871E+01      0.31594258E+01      0.47756093E+01      0.29621477E+01      0.39107361E+01
      2065      0.34093165E+01      0.32903714E+01      0.42191137E+01      0.28903022E+01      0.40707194E+01
      2066      0.35327074E+01      0.31703194E+01      0.47656860E+01      0.29907698E+01      0.41063487E+01
      2067      0.36258676E+01      0.32527295E+01      0.49344533E+01      0.30504334E+01      0.42039973E+01
      2068      0.36301134E+01      0.32973209E+01      0.47759221E+01      0.30953027E+01      0.42695440E+01
      2069      0.36339905E+01      0.32781167E+01      0.46546783E+01      0.32269923E+01      0.41065928E+01
      2070      0.37621712E+01      0.33819634E+01      0.49993337E+01      0.32961270E+01      0.40911586E+01
      2071      0.38571640E+01      0.33687541E+01      0.51951141E+01      0.32394000E+01      0.48541743E+01
      2072      0.37760624E+01      0.33108255E+01      0.50340424E+01      0.32018182E+01      0.47052943E+01
      2073      0.37230547E+01      0.33190623E+01      0.49447225E+01      0.32523255E+01      0.41663462E+01
      2074      0.37724868E+01      0.35712666E+01      0.47271398E+01      0.33217664E+01      0.41144994E+01
      2075      0.40151503E+01      0.36162447E+01      0.53060583E+01      0.35139404E+01      0.44205780E+01
      2076      0.40417928E+01      0.35434883E+01      0.54179281E+01      0.34697751E+01      0.48176676E+01
      2077      0.40817125E+01      0.36393557E+01      0.54834747E+01      0.35105553E+01      0.46485748E+01
      2078      0.42109225E+01      0.38115849E+01      0.56575394E+01      0.36293824E+01      0.46083196E+01
      2079      0.43578325E+01      0.38834874E+01      0.57949041E+01      0.37568169E+01      0.50547485E+01
      2080      0.43106315E+01      0.37745769E+01      0.57428818E+01      0.36088944E+01      0.55665309E+01
      2081      0.42627274E+01      0.39243727E+01      0.57108332E+01      0.36399727E+01      0.46437632E+01
      2082      0.43802696E+01      0.39492570E+01      0.58478037E+01      0.37412756E+01      0.50394516E+01
      2083      0.43754553E+01      0.39167684E+01      0.56723887E+01      0.37878336E+01      0.52590154E+01
      2084      0.44038454E+01      0.39274463E+01      0.59049861E+01      0.37515844E+01      0.51710765E+01
      2085      0.43767680E+01      0.39366695E+01      0.57819163E+01      0.37408613E+01      0.51742020E+01
      2086      0.44579297E+01      0.40652296E+01      0.59174093E+01      0.38794473E+01      0.47997665E+01
      2087      0.45136259E+01      0.40795420E+01      0.59583638E+01      0.39148228E+01      0.50756887E+01
      2088      0.46695896E+01      0.42818020E+01      0.60137329E+01      0.40323615E+01      0.54495265E+01
      2089      0.47415158E+01      0.43620675E+01      0.61472066E+01      0.40499930E+01      0.55795771E+01
      2090      0.48205122E+01      0.44284093E+01      0.63315659E+01      0.41468690E+01      0.54155375E+01
      2091      0.48931474E+01      0.43944804E+01      0.65719147E+01      0.41230523E+01      0.58099086E+01
      2092      0.48990726E+01      0.44243010E+01      0.64241537E+01      0.42133083E+01      0.57399648E+01
      2093      0.49365069E+01      0.44526799E+01      0.65554657E+01      0.41534235E+01      0.59807587E+01
      2094      0.48481846E+01      0.42878460E+01      0.66811905E+01      0.40815469E+01      0.56137924E+01
      2095      0.48029251E+01      0.45050348E+01      0.61452230E+01      0.41239969E+01      0.54951375E+01
      2096      0.49594872E+01      0.44918396E+01      0.66380310E+01      0.41717125E+01      0.58575312E+01
      2097      0.49350286E+01      0.43772636E+01      0.67336146E+01      0.41305853E+01      0.59045893E+01
      2098      0.49369362E+01      0.45308433E+01      0.63978195E+01      0.43327691E+01      0.54095790E+01
      2099      0.49803406E+01      0.45407988E+01      0.61728032E+01      0.44045693E+01      0.59753850E+01
      2100      0.51443324E+01      0.46005235E+01      0.67389475E+01      0.44192907E+01      0.61845881E+01
      2101      0.51506783E+01      0.47318259E+01      0.67832947E+01      0.43755226E+01      0.59583384E+01
      2102      0.52249536E+01      0.46041417E+01      0.71317113E+01      0.43958389E+01      0.62451121E+01
      2103      0.52791234E+01      0.47215428E+01      0.70474574E+01      0.45429803E+01      0.60517400E+01
      2104      0.53610172E+01      0.47378120E+01      0.69916509E+01      0.46374461E+01      0.65429891E+01
      2105      0.53095182E+01      0.45567648E+01      0.71958135E+01      0.45218491E+01      0.65790965E+01
      2106      0.51619143E+01      0.45913778E+01      0.66712875E+01      0.45423567E+01      0.60496521E+01
      2107      0.51780770E+01      0.45725345E+01      0.67304713E+01      0.45726947E+01      0.60231298E+01
      2108      0.52408262E+01      0.46299725E+01      0.68390172E+01      0.46141479E+01      0.60890681E+01
      2109      0.53034011E+01      0.46700398E+01      0.69621989E+01      0.46402102E+01      0.62299499E+01
      2110      0.53616241E+01      0.47542874E+01      0.69725621E+01      0.46865746E+01      0.63566259E+01
      2111      0.55059665E+01      0.48528043E+01      0.72324626E+01      0.47883932E+01      0.65563889E+01
      2112      0.55404939E+01      0.49432692E+01      0.71225408E+01      0.48500991E+01      0.66230774E+01
      2113      0.55455735E+01      0.49904710E+01      0.71058934E+01      0.48340958E+01      0.66345851E+01
      2114      0.56816265E+01      0.49727876E+01      0.76776530E+01      0.49006052E+01      0.65854467E+01
      2115      0.56162254E+01      0.50096770E+01      0.72551727E+01      0.48767075E+01      0.67955551E+01
      2116      0.55991909E+01      0.49621254E+01      0.73729502E+01      0.49279578E+01      0.63363012E+01
      2117      0.56891518E+01      0.51450014E+01      0.72576269E+01      0.50048845E+01      0.66292419E+01
